time; buffer(s); video seconds
2023-01-24 19:12:48.024; 0.0; 34.999051
2023-01-24 19:12:48.536; 0.0; 34.999051
2023-01-24 19:12:49.047; 0.0; 34.999051
2023-01-24 19:12:49.559; 0.925258999999997; 35.077741
2023-01-24 19:12:50.070; 0.43643000000000143; 35.56657
2023-01-24 19:12:50.581; 0.0; 36.078748
2023-01-24 19:12:51.093; 0.0; 36.5903
2023-01-24 19:12:51.604; 0.0; 37.101696
2023-01-24 19:12:52.116; 0.0; 37.613626
2023-01-24 19:12:52.628; 1.877366000000002; 38.125634
2023-01-24 19:12:53.139; 1.3671390000000017; 38.635861
2023-01-24 19:12:53.650; 0.8556949999999972; 39.147305
2023-01-24 19:12:54.162; 4.334623999999998; 39.659376
2023-01-24 19:12:54.673; 3.832059000000001; 40.170941
2023-01-24 19:12:55.185; 3.3202929999999995; 40.682707
2023-01-24 19:12:55.697; 2.8089379999999977; 41.194062
2023-01-24 19:12:56.209; 6.278756000000001; 41.705244
2023-01-24 19:12:56.720; 5.785950999999997; 42.217049
2023-01-24 19:12:57.231; 5.275432000000002; 42.727568
2023-01-24 19:12:57.745; 4.759973000000002; 43.243027
2023-01-24 19:12:58.254; 4.250881; 43.752119
2023-01-24 19:12:58.766; 3.7402560000000022; 44.262744
2023-01-24 19:12:59.277; 3.228482999999997; 44.774517
2023-01-24 19:12:59.788; 2.716911000000003; 45.286089
2023-01-24 19:13:00.300; 2.2058719999999994; 45.797128
2023-01-24 19:13:00.812; 1.6935690000000037; 46.309431
2023-01-24 19:13:01.323; 1.1822530000000029; 46.820747
2023-01-24 19:13:01.835; 0.670810000000003; 47.33219
2023-01-24 19:13:02.346; 0.15933499999999867; 47.843665
2023-01-24 19:13:02.858; 0.0; 48.355103
2023-01-24 19:13:03.370; 0.0; 48.866931
2023-01-24 19:13:03.881; 0.0; 49.378784
2023-01-24 19:13:04.392; 0.0; 49.889656
2023-01-24 19:13:04.903; 0.0; 50.400085
2023-01-24 19:13:05.415; 0.0; 50.912697
