time; type; bitrate Kbps; id; video seconds
2023-01-24 19:14:39.000; video; 1500; 00037; 132.284679
2023-01-24 19:14:42.000; audio; 320; 00038; 135.35317
2023-01-24 19:14:43.000; video; 1500; 00038; 136.888393
2023-01-24 19:14:45.000; audio; 320; 00039; 138.422547
2023-01-24 19:14:47.000; video; 1500; 00039; 140.467596
2023-01-24 19:14:50.000; audio; 320; 00040; 143.536576
2023-01-24 19:14:51.000; video; 1500; 00040; 144.049232
2023-01-24 19:14:54.000; audio; 320; 00041; 147.118343
2023-01-24 19:14:55.000; video; 1500; 00041; 148.652684
2023-01-24 19:14:57.000; audio; 320; 00042; 150.698838
2023-01-24 19:14:59.000; video; 1500; 00042; 152.738576
2023-01-24 19:15:00.000; audio; 320; 00043; 153.256231
2023-01-24 19:15:03.000; video; 2200; 00041; 156.836343
2023-01-24 19:15:03.000; video; 2200; 00042; 157.347757
2023-01-24 19:15:04.000; video; 2200; 00043; 157.347757
2023-01-24 19:15:05.000; audio; 320; 00044; 158.373944
2023-01-24 19:15:07.000; video; 2200; 00044; 160.416283
2023-01-24 19:15:08.000; audio; 320; 00045; 160.928879
2023-01-24 19:15:11.000; video; 2200; 00045; 163.99804
2023-01-24 19:15:11.000; audio; 320; 00046; 164.508367
2023-01-24 19:15:15.000; video; 2200; 00046; 168.089781
2023-01-24 19:15:15.000; audio; 320; 00047; 169.112664
2023-01-24 19:15:19.000; video; 2200; 00047; 172.692826
2023-01-24 19:15:20.000; audio; 320; 00048; 173.204203
2023-01-24 19:15:23.000; video; 2200; 00048; 176.273104
2023-01-24 19:15:24.000; audio; 320; 00049; 177.296547
2023-01-24 19:15:27.000; video; 2200; 00049; 180.365837
2023-01-24 19:15:28.000; audio; 320; 00050; 180.879451
2023-01-24 19:15:31.000; video; 2200; 00050; 184.458641
2023-01-24 19:15:32.000; audio; 320; 00051; 184.967707
2023-01-24 19:15:35.000; video; 2200; 00051; 188.548157
2023-01-24 19:15:35.000; audio; 320; 00052; 188.548157
2023-01-24 19:15:39.000; video; 2200; 00052; 192.129437
2023-01-24 19:15:39.000; audio; 320; 00053; 193.151843
2023-01-24 19:15:43.000; video; 2200; 00053; 196.733369
2023-01-24 19:15:44.000; audio; 320; 00054; 197.238186
2023-01-24 19:15:46.000; video; 2200; 00054; 200.313227
2023-01-24 19:15:47.000; audio; 320; 00055; 200.824946
2023-01-24 19:15:51.000; video; 2200; 00055; 204.91661
2023-01-24 19:15:52.000; audio; 320; 00056; 205.429191
2023-01-24 19:15:55.000; video; 2200; 00056; 208.498494
2023-01-24 19:15:55.000; audio; 320; 00057; 208.498494
2023-01-24 19:15:59.000; video; 2200; 00057; 212.588739
2023-01-24 19:16:00.000; audio; 320; 00058; 213.101077
2023-01-24 19:16:03.000; video; 2200; 00058; 216.680986
2023-01-24 19:16:04.000; audio; 320; 00059; 217.192016
2023-01-24 19:16:07.000; video; 2200; 00059; 220.773074
2023-01-24 19:16:08.000; audio; 320; 00060; 221.284646
2023-01-24 19:16:11.000; video; 2200; 00060; 224.867184
2023-01-24 19:16:11.000; audio; 320; 00061; 224.867184
2023-01-24 19:16:15.000; video; 2200; 00061; 228.957315
2023-01-24 19:16:16.000; audio; 320; 00062; 228.957315
2023-01-24 19:16:19.000; video; 2200; 00062; 232.537717
2023-01-24 19:16:20.000; audio; 320; 00063; 233.048404
2023-01-24 19:16:23.000; video; 2200; 00063; 236.118723
2023-01-24 19:16:23.000; audio; 320; 00064; 237.135445
2023-01-24 19:16:27.000; video; 2200; 00064; 240.210476
2023-01-24 19:16:28.000; audio; 320; 00065; 241.233776
2023-01-24 19:16:31.000; video; 2200; 00065; 244.30231
2023-01-24 19:16:31.000; audio; 320; 00066; 244.813547
2023-01-24 19:16:35.000; video; 2200; 00066; 248.394845
2023-01-24 19:16:36.000; audio; 320; 00067; 248.905583
2023-01-24 19:16:39.000; video; 2200; 00067; 252.48694
2023-01-24 19:16:39.000; audio; 320; 00068; 252.997843
2023-01-24 19:16:43.000; video; 2200; 00068; 256.578104
2023-01-24 19:16:44.000; audio; 320; 00069; 257.089328
2023-01-24 19:16:47.000; video; 2200; 00069; 260.158892
2023-01-24 19:16:48.000; audio; 320; 00070; 261.181954
2023-01-24 19:16:51.000; video; 2200; 00070; 264.762904
2023-01-24 19:16:52.000; audio; 320; 00071; 265.273929
2023-01-24 19:16:55.000; video; 2200; 00071; 268.335957
2023-01-24 19:16:55.000; audio; 320; 00072; 268.854477
2023-01-24 19:16:59.000; video; 2200; 00072; 272.945638
2023-01-24 19:17:00.000; audio; 320; 00073; 273.969165
2023-01-24 19:17:03.000; video; 2200; 00073; 276.527507
2023-01-24 19:17:04.000; audio; 320; 00074; 277.549776
2023-01-24 19:17:07.000; video; 2200; 00074; 280.618116
2023-01-24 19:17:08.000; audio; 320; 00075; 281.130348
2023-01-24 19:17:11.000; video; 2200; 00075; 284.710985
2023-01-24 19:17:12.000; audio; 320; 00076; 285.734799
2023-01-24 19:17:15.000; video; 2200; 00076; 288.803199
2023-01-24 19:17:16.000; audio; 320; 00077; 289.826362
2023-01-24 19:17:19.000; video; 2200; 00077; 292.38393
2023-01-24 19:17:20.000; audio; 320; 00078; 293.406573
2023-01-24 19:17:23.000; video; 2200; 00078; 296.475772
2023-01-24 19:17:24.000; audio; 320; 00079; 296.987141
2023-01-24 19:17:27.000; video; 2200; 00079; 300.56769
2023-01-24 19:17:28.000; audio; 320; 00080; 301.589857
2023-01-24 19:17:31.000; video; 2200; 00080; 304.659581
2023-01-24 19:17:32.000; audio; 320; 00081; 305.682385
2023-01-24 19:17:35.000; video; 2200; 00081; 308.240617
2023-01-24 19:17:36.000; audio; 320; 00082; 309.774717
2023-01-24 19:17:39.000; video; 2200; 00082; 312.331966
2023-01-24 19:17:41.000; audio; 320; 00083; 313.866938
2023-01-24 19:17:43.000; video; 2200; 00083; 316.935263
2023-01-24 19:17:46.000; audio; 320; 00084; 318.981899
2023-01-24 19:17:47.000; video; 2200; 00084; 320.516646
2023-01-24 19:17:48.000; audio; 320; 00085; 322.050373
2023-01-24 19:17:51.000; video; 2200; 00085; 324.096885
2023-01-24 19:17:52.000; audio; 320; 00086; 326.142217
2023-01-24 19:17:55.000; video; 2200; 00086; 328.188598
2023-01-24 19:17:56.000; audio; 320; 00087; 329.211255
2023-01-24 19:17:59.000; video; 2200; 00087; 332.279764
2023-01-24 19:18:01.000; audio; 320; 00088; 334.327036
2023-01-24 19:18:03.000; video; 2200; 00088; 336.372791
2023-01-24 19:18:05.000; audio; 320; 00089; 338.930177
2023-01-24 19:18:07.000; video; 2200; 00089; 340.464987
2023-01-24 19:18:09.000; audio; 320; 00090; 342.511273
2023-01-24 19:18:11.000; video; 2200; 00090; 344.55634
2023-01-24 19:18:13.000; audio; 320; 00091; 346.603531
2023-01-24 19:18:15.000; video; 2200; 00091; 348.649384
2023-01-24 19:18:18.000; audio; 320; 00092; 351.20652
2023-01-24 19:18:19.000; video; 2200; 00092; 352.229954
2023-01-24 19:18:21.000; audio; 320; 00093; 354.275472
2023-01-24 19:18:23.000; video; 2200; 00093; 356.833156
2023-01-24 19:18:25.000; audio; 320; 00094; 358.87833
2023-01-24 19:18:27.000; video; 2200; 00094; 360.413907
2023-01-24 19:18:39.000; audio; 320; 00095; 372.688791
2023-01-24 19:18:40.000; video; 600; 00095; 373.712122
2023-01-24 19:18:45.000; audio; 320; 00096; 376.510503
2023-01-24 19:18:45.000; video; 1000; 00096; 376.510503
2023-01-24 19:18:46.000; video; 300; 00097; 378.045479
2023-01-24 19:18:48.000; video; 300; 00098; 379.57983
2023-01-24 19:18:49.000; video; 300; 00099; 380.09102
2023-01-24 19:18:49.000; audio; 320; 00097; 380.602903
2023-01-24 19:18:50.000; video; 300; 00100; 384.138041
2023-01-24 19:18:51.000; audio; 320; 00098; 384.138041
2023-01-24 19:18:52.000; audio; 320; 00099; 385.160446
2023-01-24 19:18:53.000; audio; 320; 00100; 386.183546
2023-01-24 19:18:53.000; audio; 128; 00100; 386.694707
2023-01-24 19:18:54.000; audio; 192; 00100; 387.206907
2023-01-24 19:18:54.000; audio; 256; 00100; 387.718196
2023-01-24 19:18:54.000; video; 300; 00101; 388.23038
2023-01-24 19:18:55.000; audio; 256; 00101; 388.74191
2023-01-24 19:18:56.000; audio; 256; 00102; 390.27621
2023-01-24 19:18:59.000; video; 600; 00100; 392.321412
2023-01-24 19:18:59.000; video; 600; 00101; 392.83337
2023-01-24 19:19:00.000; video; 600; 00102; 393.344668
2023-01-24 19:19:01.000; audio; 256; 00103; 394.368133
2023-01-24 19:19:03.000; video; 2200; 00101; 396.413657
2023-01-24 19:19:04.000; video; 2200; 00102; 397.948691
2023-01-24 19:19:05.000; video; 2200; 00103; 398.97068
2023-01-24 19:19:06.000; audio; 320; 00102; 399.993158
2023-01-24 19:19:07.000; audio; 320; 00103; 400.505925
2023-01-24 19:19:07.000; video; 2200; 00104; 400.505925
2023-01-24 19:19:07.000; audio; 320; 00104; 401.01723
2023-01-24 19:19:08.000; audio; 320; 00105; 402.033463
2023-01-24 19:19:10.000; video; 2200; 00105; 404.086295
2023-01-24 19:19:12.000; audio; 320; 00106; 405.620761
2023-01-24 19:19:15.000; video; 2200; 00106; 408.178109
2023-01-24 19:19:16.000; audio; 320; 00107; 409.713238
2023-01-24 19:19:19.000; video; 2200; 00107; 413.293132
2023-01-24 19:19:22.000; audio; 320; 00108; 415.849775
2023-01-24 19:19:22.000; video; 2200; 00108; 416.361173
2023-01-24 19:19:25.000; audio; 320; 00109; 418.408083
2023-01-24 19:19:27.000; video; 2200; 00109; 420.45384
2023-01-24 19:19:28.000; audio; 320; 00110; 421.987954
2023-01-24 19:19:30.000; video; 2200; 00110; 424.545846
2023-01-24 19:19:33.000; audio; 320; 00111; 426.592369
2023-01-24 19:19:35.000; video; 2200; 00111; 428.63878
2023-01-24 19:19:37.000; audio; 320; 00112; 430.171824
2023-01-24 19:19:39.000; video; 2200; 00112; 432.729484
2023-01-24 19:19:41.000; audio; 320; 00113; 434.264694
2023-01-24 19:19:42.000; video; 2200; 00113; 436.30936
2023-01-24 19:19:44.000; audio; 320; 00114; 437.845665
2023-01-24 19:19:46.000; video; 2200; 00114; 440.403284
2023-01-24 19:19:48.000; audio; 320; 00115; 441.42553
2023-01-24 19:19:51.000; video; 2200; 00115; 444.493864
2023-01-24 19:19:52.000; audio; 320; 00116; 446.028801
2023-01-24 19:19:55.000; video; 2200; 00116; 448.58603
2023-01-24 19:19:56.000; audio; 320; 00117; 450.121507
2023-01-24 19:19:59.000; video; 2200; 00117; 452.678056
2023-01-24 19:20:00.000; audio; 320; 00118; 453.190061
2023-01-24 19:20:03.000; video; 2200; 00118; 456.770538
2023-01-24 19:20:04.000; audio; 320; 00119; 457.281696
2023-01-24 19:20:06.000; video; 2200; 00119; 460.351522
2023-01-24 19:20:07.000; audio; 320; 00120; 460.351522
2023-01-24 19:20:10.000; video; 2200; 00120; 464.443444
2023-01-24 19:20:11.000; audio; 320; 00121; 464.953567
2023-01-24 19:20:14.000; video; 2200; 00121; 468.023379
2023-01-24 19:20:15.000; audio; 320; 00122; 469.046752
2023-01-24 19:20:19.000; video; 2200; 00122; 472.115626
2023-01-24 19:20:19.000; audio; 320; 00123; 472.62675
2023-01-24 19:20:22.000; video; 2200; 00123; 476.207192
2023-01-24 19:20:23.000; audio; 320; 00124; 476.717951
2023-01-24 19:20:27.000; video; 2200; 00124; 480.299826
2023-01-24 19:20:27.000; audio; 320; 00125; 480.810632
2023-01-24 19:20:31.000; video; 2200; 00125; 484.391847
2023-01-24 19:20:31.000; audio; 320; 00126; 484.391847
2023-01-24 19:20:34.000; video; 2200; 00126; 488.482564
2023-01-24 19:20:36.000; audio; 320; 00127; 489.506599
2023-01-24 19:20:39.000; video; 2200; 00127; 493.086655
2023-01-24 19:20:40.000; audio; 320; 00128; 493.599434
2023-01-24 19:20:42.000; video; 2200; 00128; 496.667648
2023-01-24 19:20:43.000; audio; 320; 00129; 497.17899
2023-01-24 19:20:46.000; video; 2200; 00129; 500.248277
2023-01-24 19:20:47.000; audio; 320; 00130; 500.758811
2023-01-24 19:20:51.000; video; 2200; 00130; 504.850979
2023-01-24 19:20:51.000; audio; 320; 00131; 504.850979
2023-01-24 19:20:54.000; video; 2200; 00131; 508.432043
2023-01-24 19:20:55.000; audio; 320; 00132; 508.9436
2023-01-24 19:20:59.000; video; 2200; 00132; 512.523939
2023-01-24 19:21:00.000; audio; 320; 00133; 513.035843
2023-01-24 19:21:03.000; video; 2200; 00133; 516.616069
2023-01-24 19:21:03.000; audio; 320; 00134; 517.126703
2023-01-24 19:21:07.000; video; 2200; 00134; 520.708425
2023-01-24 19:21:07.000; audio; 320; 00135; 521.219311
2023-01-24 19:21:11.000; video; 2200; 00135; 524.800388
2023-01-24 19:21:11.000; audio; 320; 00136; 525.311951
2023-01-24 19:21:15.000; video; 2200; 00136; 528.891676
2023-01-24 19:21:16.000; audio; 320; 00137; 529.403425
2023-01-24 19:21:18.000; video; 2200; 00137; 532.984552
2023-01-24 19:21:20.000; audio; 320; 00138; 533.494904
2023-01-24 19:21:23.000; video; 2200; 00138; 537.076365
2023-01-24 19:21:24.000; audio; 320; 00139; 537.588387
2023-01-24 19:21:26.000; video; 2200; 00139; 540.656934
2023-01-24 19:21:27.000; audio; 320; 00140; 541.167855
2023-01-24 19:21:31.000; video; 2200; 00140; 544.748194
2023-01-24 19:21:32.000; audio; 320; 00141; 545.259378
2023-01-24 19:21:34.000; video; 2200; 00141; 548.840433
2023-01-24 19:21:35.000; audio; 320; 00142; 548.840433
2023-01-24 19:21:39.000; video; 2200; 00142; 552.931596
2023-01-24 19:21:40.000; audio; 320; 00143; 553.444776
2023-01-24 19:21:42.000; video; 2200; 00143; 556.513065
2023-01-24 19:21:43.000; audio; 320; 00144; 556.513065
2023-01-24 19:21:46.000; video; 2200; 00144; 560.094184
2023-01-24 19:21:47.000; audio; 320; 00145; 560.604238
2023-01-24 19:21:50.000; video; 2200; 00145; 564.18593
2023-01-24 19:21:51.000; audio; 320; 00146; 564.696802
2023-01-24 19:21:54.000; video; 2200; 00146; 568.277431
2023-01-24 19:21:55.000; audio; 320; 00147; 568.789011
