time; buffer(s)
2023-01-22 20:56:44.394; 0.0; buffering
2023-01-22 20:56:44.906; 3.756253
2023-01-22 20:56:45.42; 3.240722
2023-01-22 20:56:45.933; 2.7278650000000004
2023-01-22 20:56:46.443; 2.2186320000000004
2023-01-22 20:56:46.961; 1.7012780000000003
2023-01-22 20:56:47.481; 1.1800830000000002
2023-01-22 20:56:47.994; 4.658481
2023-01-22 20:56:48.503; 4.159102000000001
2023-01-22 20:56:49.015; 3.6458079999999997
2023-01-22 20:56:49.526; 3.1362810000000003
2023-01-22 20:56:50.038; 6.6174409999999995
2023-01-22 20:56:50.549; 6.112571
2023-01-22 20:56:51.06; 5.6011370000000005
2023-01-22 20:56:51.572; 5.089969
2023-01-22 20:56:52.083; 4.577851
2023-01-22 20:56:52.595; 8.053376
2023-01-22 20:56:53.106; 7.541115000000001
2023-01-22 20:56:53.617; 7.044192000000001
2023-01-22 20:56:54.129; 10.510440000000001
2023-01-22 20:56:54.641; 14.002290000000002
2023-01-22 20:56:55.152; 13.509220000000001
2023-01-22 20:56:55.663; 12.998408
2023-01-22 20:56:56.174; 12.487259
2023-01-22 20:56:56.685; 11.976231
2023-01-22 20:56:57.197; 11.464232
2023-01-22 20:56:57.703; 10.958526
2023-01-22 20:56:58.22; 14.426900000000002
2023-01-22 20:56:58.732; 13.928945
2023-01-22 20:56:59.244; 13.417728
2023-01-22 20:56:59.754; 12.907501
2023-01-22 20:57:00.267; 12.39498
2023-01-22 20:57:00.778; 11.884291000000001
2023-01-22 20:57:01.29; 11.372271999999999
2023-01-22 20:57:01.8; 10.861139999999999
2023-01-22 20:57:02.314; 10.347432000000001
2023-01-22 20:57:02.824; 13.818131000000001
2023-01-22 20:57:03.335; 13.307397000000002
2023-01-22 20:57:03.904; 12.763404999999999
2023-01-22 20:57:04.42; 12.241851
2023-01-22 20:57:04.982; 11.692284
2023-01-22 20:57:05.489; 11.171901000000002
2023-01-22 20:57:06.003; 10.659497000000002
2023-01-22 20:57:06.512; 10.149277999999999
2023-01-22 20:57:07.03; 13.611158000000003
2023-01-22 20:57:07.537; 13.124756999999999
2023-01-22 20:57:08.047; 12.614344
2023-01-22 20:57:08.558; 12.103256000000002
2023-01-22 20:57:09.073; 11.589642999999999
2023-01-22 20:57:09.58; 11.081163
2023-01-22 20:57:10.093; 10.568449000000001
2023-01-22 20:57:10.612; 14.032436
2023-01-22 20:57:11.136; 13.52638
2023-01-22 20:57:11.642; 13.01916
2023-01-22 20:57:12.156; 12.505700999999998
2023-01-22 20:57:12.665; 11.996806
2023-01-22 20:57:13.175; 11.486149000000001
2023-01-22 20:57:13.689; 10.973536
2023-01-22 20:57:14.198; 10.462631000000002
2023-01-22 20:57:14.71; 9.951733
2023-01-22 20:57:15.221; 13.432065000000001
2023-01-22 20:57:15.733; 12.927990000000001
2023-01-22 20:57:16.244; 12.417276000000001
2023-01-22 20:57:16.758; 11.904090000000004
2023-01-22 20:57:17.27; 11.392449
2023-01-22 20:57:17.779; 10.881891000000003
2023-01-22 20:57:18.29; 10.372169999999997
2023-01-22 20:57:18.801; 9.859544
2023-01-22 20:57:19.314; 9.347802999999999
2023-01-22 20:57:19.824; 8.836778000000002
2023-01-22 20:57:20.337; 8.325904999999999
2023-01-22 20:57:20.848; 7.813034000000002
2023-01-22 20:57:21.359; 7.302365999999999
2023-01-22 20:57:21.87; 6.790509999999998
2023-01-22 20:57:22.382; 6.279550999999998
2023-01-22 20:57:22.894; 5.767311999999997
2023-01-22 20:57:23.399; 5.262661000000001
2023-01-22 20:57:23.921; 4.741725000000002
2023-01-22 20:57:24.428; 4.233725999999997
2023-01-22 20:57:24.939; 3.722383999999998
2023-01-22 20:57:25.451; 3.2110229999999973
2023-01-22 20:57:25.963; 6.678891
2023-01-22 20:57:26.474; 6.168429000000003
2023-01-22 20:57:26.986; 5.675863
2023-01-22 20:57:27.497; 5.163854999999998
2023-01-22 20:57:28.003; 4.658271999999997
2023-01-22 20:57:28.519; 8.127570999999996
2023-01-22 20:57:29.034; 7.62979
2023-01-22 20:57:29.544; 7.117711999999997
2023-01-22 20:57:30.055; 6.607114000000003
2023-01-22 20:57:30.566; 6.095495999999997
2023-01-22 20:57:31.079; 9.571956
2023-01-22 20:57:31.589; 9.061395999999995
2023-01-22 20:57:32.1; 8.560879999999997
2023-01-22 20:57:32.611; 8.050905
2023-01-22 20:57:33.123; 7.5391600000000025
2023-01-22 20:57:33.633; 11.024807000000003
2023-01-22 20:57:34.145; 10.515856
2023-01-22 20:57:34.656; 10.005142
2023-01-22 20:57:35.169; 13.483243000000002
2023-01-22 20:57:35.68; 12.981119
2023-01-22 20:57:36.193; 12.469217
2023-01-22 20:57:36.703; 11.958243000000003
