time; type; bitrate Kbps; id; video seconds
2023-01-24 21:12:33.000; audio; 64; 00001; 0.0
2023-01-24 21:12:33.000; video; 1000; 00001; 0.0
2023-01-24 21:12:33.000; audio; 320; 00002; 0.0
2023-01-24 21:12:34.000; video; 4600; 00002; 0.258486
2023-01-24 21:12:35.000; audio; 320; 00003; 0.769931
2023-01-24 21:12:34.000; video; 4600; 00003; 1.280125
2023-01-24 21:12:35.000; audio; 320; 00004; 1.7925
2023-01-24 21:12:35.000; video; 4600; 00004; 1.7925
2023-01-24 21:12:36.000; audio; 320; 00005; 2.303451
2023-01-24 21:12:36.000; video; 4600; 00005; 2.81489
2023-01-24 21:12:37.000; audio; 320; 00006; 3.322899
2023-01-24 21:12:37.000; video; 4600; 00006; 3.322899
2023-01-24 21:12:37.000; video; 4600; 00007; 3.322899
2023-01-24 21:12:38.000; audio; 320; 00007; 3.845881
2023-01-24 21:12:58.000; video; 4600; 00007; 23.905126
2023-01-24 21:12:58.000; video; 4600; 00007; 23.905126
2023-01-24 21:12:59.000; audio; 320; 00007; 23.905126
2023-01-24 21:12:59.000; audio; 320; 00008; 23.905126
2023-01-24 21:12:58.000; video; 4600; 00008; 24.292317
2023-01-24 21:13:00.000; audio; 320; 00009; 25.315926
2023-01-24 21:13:00.000; video; 4600; 00009; 25.315926
2023-01-24 21:13:01.000; audio; 320; 00010; 26.348205
2023-01-24 21:13:01.000; video; 4600; 00010; 26.865036
2023-01-24 21:13:03.000; audio; 128; 00010; 27.377018
2023-01-24 21:13:03.000; audio; 192; 00010; 27.888482
2023-01-24 21:13:03.000; audio; 256; 00010; 27.888482
2023-01-24 21:13:03.000; audio; 256; 00011; 27.888482
2023-01-24 21:13:03.000; video; 600; 00011; 28.400249
2023-01-24 21:13:04.000; audio; 256; 00012; 28.400249
2023-01-24 21:13:07.000; video; 1000; 00012; 32.489862
2023-01-24 21:13:08.000; audio; 256; 00013; 33.001448
2023-01-24 21:13:11.000; video; 2200; 00011; 36.628066
2023-01-24 21:13:12.000; video; 3200; 00011; 37.826846
2023-01-24 21:13:13.000; video; 3200; 00012; 38.356991
2023-01-24 21:13:14.000; video; 3200; 00013; 39.391904
2023-01-24 21:13:15.000; audio; 320; 00012; 39.916007
2023-01-24 21:13:15.000; audio; 320; 00013; 39.916007
2023-01-24 21:13:15.000; audio; 320; 00014; 40.428086
2023-01-24 21:13:15.000; video; 3200; 00014; 40.428086
2023-01-24 21:13:17.000; audio; 320; 00015; 41.977317
2023-01-24 21:13:19.000; video; 4600; 00013; 44.550433
2023-01-24 21:13:20.000; video; 4600; 00014; 45.573182
2023-01-24 21:13:22.000; video; 4600; 00015; 47.107125
2023-01-24 21:13:23.000; video; 4600; 00016; 48.130467
2023-01-24 21:13:23.000; audio; 320; 00016; 48.130467
