time; buffer(s)
2023-01-22 20:46:39.334; 0.0; buffering
2023-01-22 20:46:39.845; 3.689291
2023-01-22 20:46:40.354; 3.1802460000000004
2023-01-22 20:46:40.864; 6.67053
2023-01-22 20:46:41.376; 10.15234
2023-01-22 20:46:41.888; 13.632712000000001
2023-01-22 20:46:42.398; 13.136726
2023-01-22 20:46:42.91; 16.624763
2023-01-22 20:46:43.419; 20.115512
2023-01-22 20:46:43.931; 23.589795000000002
2023-01-22 20:46:44.44; 27.075277
2023-01-22 20:46:44.95; 26.584334
2023-01-22 20:46:45.46; 30.052928
2023-01-22 20:46:45.97; 29.563954
2023-01-22 20:46:46.478; 33.037316000000004
2023-01-22 20:46:46.995; 36.532445
2023-01-22 20:46:47.515; 40.000477000000004
2023-01-22 20:46:48.041; 43.495504
2023-01-22 20:46:48.576; 46.955442999999995
2023-01-22 20:46:49.138; 50.395899
2023-01-22 20:46:49.66; 49.871255
2023-01-22 20:46:50.18; 49.352418
2023-01-22 20:46:50.689; 48.842465000000004
2023-01-22 20:46:51.199; 48.331388000000004
2023-01-22 20:46:51.708; 47.822823
2023-01-22 20:46:52.219; 47.312791000000004
2023-01-22 20:46:52.73; 46.801326
2023-01-22 20:46:53.243; 46.289732
2023-01-22 20:46:53.753; 45.778008
2023-01-22 20:46:54.265; 45.265636
2023-01-22 20:46:54.776; 44.755257
2023-01-22 20:46:55.296; 44.239353
2023-01-22 20:46:55.803; 43.727409
2023-01-22 20:46:56.322; 43.20877
2023-01-22 20:46:56.832; 42.699313000000004
2023-01-22 20:46:57.342; 42.18857
2023-01-22 20:46:57.86; 41.690711
2023-01-22 20:46:58.378; 41.690711
2023-01-22 20:46:58.893; 41.690711
2023-01-22 20:46:59.401; 41.690711
2023-01-22 20:46:59.913; 41.690711
2023-01-22 20:47:00.422; 41.690711
2023-01-22 20:47:00.933; 41.690711
2023-01-22 20:47:01.443; 41.690711
2023-01-22 20:47:01.954; 41.690711
2023-01-22 20:47:02.464; 41.690711
2023-01-22 20:47:02.973; 41.690711
2023-01-22 20:47:03.485; 41.690711
2023-01-22 20:47:03.996; 41.332386
2023-01-22 20:47:04.507; 40.821905
2023-01-22 20:47:05.017; 40.311182
2023-01-22 20:47:05.526; 39.802628
2023-01-22 20:47:06.036; 39.292227
2023-01-22 20:47:06.546; 38.783024
2023-01-22 20:47:07.056; 38.273928
2023-01-22 20:47:07.565; 37.764167
2023-01-22 20:47:08.076; 37.253296
2023-01-22 20:47:08.589; 36.739913
2023-01-22 20:47:09.103; 36.225628
2023-01-22 20:47:09.623; 35.706906000000004
2023-01-22 20:47:10.133; 35.195696999999996
2023-01-22 20:47:10.656; 38.676161
2023-01-22 20:47:11.164; 42.16446
2023-01-22 20:47:11.675; 41.657869000000005
2023-01-22 20:47:12.185; 45.146991
2023-01-22 20:47:12.698; 48.62271200000001
2023-01-22 20:47:13.208; 52.123441
2023-01-22 20:47:13.718; 51.61335
2023-01-22 20:47:14.231; 55.097736
2023-01-22 20:47:14.744; 54.585565
2023-01-22 20:47:15.254; 58.064272
2023-01-22 20:47:15.765; 61.559922
2023-01-22 20:47:16.276; 61.055395000000004
2023-01-22 20:47:16.787; 60.544835
2023-01-22 20:47:17.297; 60.03477
2023-01-22 20:47:17.804; 59.527075
2023-01-22 20:47:18.32; 59.012932
2023-01-22 20:47:18.832; 62.494872
2023-01-22 20:47:19.34; 61.9915
2023-01-22 20:47:19.851; 61.480163
2023-01-22 20:47:20.362; 60.971014
2023-01-22 20:47:20.872; 60.460027
2023-01-22 20:47:21.383; 59.949040000000004
2023-01-22 20:47:21.894; 59.437392
2023-01-22 20:47:22.4; 58.932041
2023-01-22 20:47:22.912; 62.413736
2023-01-22 20:47:23.426; 61.907894
2023-01-22 20:47:23.938; 61.394744
2023-01-22 20:47:24.446; 60.886732
2023-01-22 20:47:24.958; 60.374622
2023-01-22 20:47:25.471; 59.861059
2023-01-22 20:47:25.978; 59.353982
2023-01-22 20:47:26.49; 62.841801
2023-01-22 20:47:26.997; 62.334025
2023-01-22 20:47:27.509; 61.823152
2023-01-22 20:47:28.022; 61.311396
2023-01-22 20:47:28.532; 60.799737
2023-01-22 20:47:29.043; 60.289547
2023-01-22 20:47:29.552; 59.780131
2023-01-22 20:47:30.065; 59.267948
2023-01-22 20:47:30.574; 62.746714000000004
2023-01-22 20:47:31.083; 62.248172
2023-01-22 20:47:31.592; 61.739375
2023-01-22 20:47:32.103; 61.22849
2023-01-22 20:47:32.614; 60.717941
2023-01-22 20:47:33.125; 60.207065
2023-01-22 20:47:33.637; 59.695297000000004
2023-01-22 20:47:34.147; 59.185633
2023-01-22 20:47:34.657; 62.674756
2023-01-22 20:47:35.17; 62.161411
2023-01-22 20:47:35.68; 61.652003
2023-01-22 20:47:36.19; 61.141124
2023-01-22 20:47:36.701; 60.630595
2023-01-22 20:47:37.212; 60.119939
2023-01-22 20:47:37.721; 59.611417
2023-01-22 20:47:38.234; 59.097595
2023-01-22 20:47:38.744; 58.587577
2023-01-22 20:47:39.263; 62.068617
2023-01-22 20:47:39.781; 61.549668
2023-01-22 20:47:40.297; 61.036782
2023-01-22 20:47:40.805; 60.526663
2023-01-22 20:47:41.315; 60.016572000000004
2023-01-22 20:47:41.825; 59.507007
2023-01-22 20:47:42.337; 58.995772
2023-01-22 20:47:42.846; 62.483222000000005
2023-01-22 20:47:43.355; 61.975996
2023-01-22 20:47:43.867; 61.465489
2023-01-22 20:47:44.379; 60.952562
2023-01-22 20:47:44.888; 60.443429
2023-01-22 20:47:45.398; 59.933655
2023-01-22 20:47:45.909; 59.422715
2023-01-22 20:47:46.418; 58.913487
2023-01-22 20:47:46.93; 62.395062
2023-01-22 20:47:47.439; 61.892571
2023-01-22 20:47:47.95; 61.38154
2023-01-22 20:47:48.46; 60.87069
2023-01-22 20:47:48.973; 60.35907
2023-01-22 20:47:49.482; 59.849213000000006
2023-01-22 20:47:49.993; 59.338404
2023-01-22 20:47:50.504; 58.828147
2023-01-22 20:47:51.014; 58.317477
2023-01-22 20:47:51.525; 61.792557
2023-01-22 20:47:52.036; 61.29561199999999
2023-01-22 20:47:52.546; 60.78531599999998
2023-01-22 20:47:53.058; 60.27374399999998
2023-01-22 20:47:53.568; 59.76376299999998
2023-01-22 20:47:54.079; 59.25193199999998
2023-01-22 20:47:54.59; 58.742114999999984
2023-01-22 20:47:55.103; 62.22858099999999
2023-01-22 20:47:55.612; 61.72022799999999
2023-01-22 20:47:56.123; 61.20867699999998
2023-01-22 20:47:56.633; 60.69848399999998
2023-01-22 20:47:57.142; 60.189497999999986
2023-01-22 20:47:57.652; 59.68046799999999
2023-01-22 20:47:58.16; 59.171463999999986
2023-01-22 20:47:58.672; 58.65984299999998
2023-01-22 20:47:59.183; 62.14894899999999
2023-01-22 20:47:59.694; 61.63757799999999
2023-01-22 20:48:00.201; 61.13138599999999
2023-01-22 20:48:00.716; 60.61534399999998
2023-01-22 20:48:01.226; 60.106515999999985
2023-01-22 20:48:01.737; 59.59546399999999
2023-01-22 20:48:02.246; 59.08596199999998
2023-01-22 20:48:02.754; 58.57722099999998
2023-01-22 20:48:03.266; 62.055026999999995
2023-01-22 20:48:03.774; 61.55724999999998
2023-01-22 20:48:04.286; 61.045934999999986
2023-01-22 20:48:04.799; 60.53378799999999
2023-01-22 20:48:05.307; 60.02386999999999
2023-01-22 20:48:05.816; 59.516007999999985
2023-01-22 20:48:06.327; 59.005904999999984
2023-01-22 20:48:06.836; 58.49502699999998
2023-01-22 20:48:07.346; 61.98499899999999
2023-01-22 20:48:07.855; 61.47626299999999
2023-01-22 20:48:08.366; 60.96548899999999
2023-01-22 20:48:08.876; 60.45492499999999
2023-01-22 20:48:09.385; 59.94764699999999
2023-01-22 20:48:09.896; 59.435884999999985
2023-01-22 20:48:10.407; 58.92415299999999
2023-01-22 20:48:10.915; 58.41624299999998
2023-01-22 20:48:11.424; 61.890209999999996
2023-01-22 20:48:11.935; 61.39611199999999
