time; buffer(s)
2023-01-22 21:51:28.197; 0.0; buffering
2023-01-22 21:51:28.718; 3.674944
2023-01-22 21:51:29.228; 3.164179
2023-01-22 21:51:29.74; 6.652767
2023-01-22 21:51:30.255; 10.132898
2023-01-22 21:51:30.764; 9.629302
2023-01-22 21:51:31.276; 13.103144
2023-01-22 21:51:31.786; 16.585064000000003
2023-01-22 21:51:32.297; 16.07374
2023-01-22 21:51:32.817; 23.561420000000002
2023-01-22 21:51:33.336; 23.043694000000002
2023-01-22 21:51:33.851; 22.542595
2023-01-22 21:51:34.358; 26.015336
2023-01-22 21:51:34.871; 25.522154999999998
2023-01-22 21:51:35.384; 28.986579000000003
2023-01-22 21:51:36.084; 28.311167
2023-01-22 21:51:36.607; 31.767597000000002
2023-01-22 21:51:37.12; 35.262907999999996
2023-01-22 21:51:37.629; 34.763967
2023-01-22 21:51:38.14; 38.23312
2023-01-22 21:51:38.652; 41.726571
2023-01-22 21:51:39.163; 41.229337
2023-01-22 21:51:39.675; 44.706845
2023-01-22 21:51:40.186; 48.203165999999996
2023-01-22 21:51:40.698; 51.686355
2023-01-22 21:51:41.209; 55.180874
2023-01-22 21:51:41.72; 58.653228999999996
2023-01-22 21:51:42.233; 58.140513
2023-01-22 21:51:42.744; 61.648253
2023-01-22 21:51:43.255; 61.137605
2023-01-22 21:51:43.766; 60.626373
2023-01-22 21:51:44.278; 60.114267
2023-01-22 21:51:44.786; 59.607057999999995
2023-01-22 21:51:45.301; 59.092646
2023-01-22 21:51:45.812; 58.581085
2023-01-22 21:51:46.323; 58.069682
2023-01-22 21:51:46.835; 61.556891
2023-01-22 21:51:47.347; 61.046365
2023-01-22 21:51:47.858; 60.534239
2023-01-22 21:51:48.37; 60.023593000000005
2023-01-22 21:51:48.882; 59.511372
2023-01-22 21:51:49.392; 59.000661
2023-01-22 21:51:49.904; 58.489357
2023-01-22 21:51:50.416; 57.976935
2023-01-22 21:51:50.927; 61.4651
2023-01-22 21:51:51.438; 60.954009
2023-01-22 21:51:51.949; 60.44352
2023-01-22 21:51:52.462; 59.930563
2023-01-22 21:51:52.972; 59.421079
2023-01-22 21:51:53.485; 58.906824
2023-01-22 21:51:53.999; 62.38113200000001
2023-01-22 21:51:54.507; 61.886877999999996
2023-01-22 21:51:55.019; 61.374488
2023-01-22 21:51:55.53; 60.861835
2023-01-22 21:51:56.042; 60.351310999999995
2023-01-22 21:51:56.552; 59.840036999999995
2023-01-22 21:51:57.065; 59.327912
2023-01-22 21:51:57.577; 62.808758
2023-01-22 21:51:58.094; 62.298983
2023-01-22 21:51:58.615; 61.777467
2023-01-22 21:51:59.127; 61.26504
2023-01-22 21:51:59.637; 60.755021
2023-01-22 21:52:00.149; 60.242813
2023-01-22 21:52:00.659; 59.732915
2023-01-22 21:52:01.17; 59.221529
2023-01-22 21:52:01.683; 62.70377
2023-01-22 21:52:02.193; 62.198527
2023-01-22 21:52:02.706; 61.686873
2023-01-22 21:52:03.216; 61.17636
2023-01-22 21:52:03.728; 60.663983
2023-01-22 21:52:04.238; 60.15369
2023-01-22 21:52:04.751; 59.641006
2023-01-22 21:52:05.262; 63.124532
2023-01-22 21:52:05.774; 62.618272
2023-01-22 21:52:06.286; 62.106629
2023-01-22 21:52:06.798; 61.594653
2023-01-22 21:52:07.308; 61.084437
2023-01-22 21:52:07.82; 60.571838
2023-01-22 21:52:08.331; 60.061487
2023-01-22 21:52:08.843; 59.549563
2023-01-22 21:52:09.354; 63.02797700000001
2023-01-22 21:52:09.864; 62.528305
2023-01-22 21:52:10.376; 62.016832
2023-01-22 21:52:10.886; 61.506092
2023-01-22 21:52:11.398; 60.99445
2023-01-22 21:52:11.91; 60.482405
2023-01-22 21:52:12.421; 59.971078
2023-01-22 21:52:12.933; 59.459586
2023-01-22 21:52:13.444; 58.949473
2023-01-22 21:52:13.957; 62.42503800000001
2023-01-22 21:52:14.466; 61.925621
2023-01-22 21:52:14.978; 61.414758
2023-01-22 21:52:15.49; 60.902361
2023-01-22 21:52:16.001; 60.391425
2023-01-22 21:52:16.511; 59.881368
2023-01-22 21:52:17.024; 59.368287
2023-01-22 21:52:17.535; 62.840292000000005
2023-01-22 21:52:18.046; 62.346233
2023-01-22 21:52:18.557; 61.834297
2023-01-22 21:52:19.069; 61.323686
2023-01-22 21:52:19.581; 60.811643
2023-01-22 21:52:20.093; 60.29895
2023-01-22 21:52:20.603; 59.789858
2023-01-22 21:52:21.115; 59.278153
2023-01-22 21:52:21.629; 62.75733
2023-01-22 21:52:22.137; 62.256176
2023-01-22 21:52:22.651; 61.742095
2023-01-22 21:52:23.162; 61.231135
2023-01-22 21:52:23.672; 60.719897
2023-01-22 21:52:24.183; 60.210227
2023-01-22 21:52:24.698; 59.695753
2023-01-22 21:52:25.208; 59.184972
2023-01-22 21:52:25.715; 62.675706000000005
2023-01-22 21:52:26.229; 62.164482
2023-01-22 21:52:26.738; 61.654511
2023-01-22 21:52:27.251; 61.143244
2023-01-22 21:52:27.765; 60.626712
2023-01-22 21:52:28.287; 60.106279
2023-01-22 21:52:28.803; 59.590307
2023-01-22 21:52:29.31; 59.082637
2023-01-22 21:52:29.822; 58.571008
2023-01-22 21:52:30.335; 62.052553
2023-01-22 21:52:30.845; 61.548073
2023-01-22 21:52:31.356; 61.036662
2023-01-22 21:52:31.867; 60.526158
2023-01-22 21:52:32.377; 60.015847
2023-01-22 21:52:32.889; 59.504096000000004
2023-01-22 21:52:33.4; 58.992914999999996
2023-01-22 21:52:33.911; 58.481617
2023-01-22 21:52:34.421; 61.95763600000001
2023-01-22 21:52:34.932; 61.45951099999999
2023-01-22 21:52:35.444; 60.948610999999985
2023-01-22 21:52:35.954; 60.43777899999999
2023-01-22 21:52:36.466; 59.92689799999998
2023-01-22 21:52:36.977; 59.41484899999999
2023-01-22 21:52:37.488; 58.90348299999998
2023-01-22 21:52:38.0; 62.372870000000006
2023-01-22 21:52:38.512; 61.86129600000001
2023-01-22 21:52:39.023; 61.36953399999999
2023-01-22 21:52:39.535; 60.856886999999986
2023-01-22 21:52:40.047; 60.34541399999999
2023-01-22 21:52:40.558; 59.83453199999998
2023-01-22 21:52:41.069; 59.32350199999999
2023-01-22 21:52:41.58; 58.81135499999999
2023-01-22 21:52:42.091; 62.30102499999998
2023-01-22 21:52:42.603; 61.78931399999999
2023-01-22 21:52:43.114; 61.27836999999998
2023-01-22 21:52:43.625; 60.76677599999998
2023-01-22 21:52:44.135; 60.25789799999998
2023-01-22 21:52:44.647; 59.74517499999999
2023-01-22 21:52:45.158; 59.23444699999999
2023-01-22 21:52:45.669; 58.723072999999985
2023-01-22 21:52:46.181; 62.19981499999999
2023-01-22 21:52:46.692; 61.70069499999998
2023-01-22 21:52:47.203; 61.18906799999999
2023-01-22 21:52:47.719; 60.67440699999999
2023-01-22 21:52:48.228; 60.16495999999998
2023-01-22 21:52:48.737; 59.65432999999999
2023-01-22 21:52:49.249; 59.142960999999985
2023-01-22 21:52:49.76; 58.63211399999999
2023-01-22 21:52:50.271; 62.111913
2023-01-22 21:52:50.782; 61.61065399999998
2023-01-22 21:52:51.294; 61.09842999999998
2023-01-22 21:52:51.804; 60.58814199999999
2023-01-22 21:52:52.315; 60.07677899999999
2023-01-22 21:52:52.829; 59.56402699999998
2023-01-22 21:52:53.34; 59.05281799999999
2023-01-22 21:52:53.851; 58.54163099999998
2023-01-22 21:52:54.361; 62.01408099999999
2023-01-22 21:52:54.872; 61.52047399999999
2023-01-22 21:52:55.383; 61.00903299999999
2023-01-22 21:52:55.895; 60.49789699999998
2023-01-22 21:52:56.405; 59.98689499999999
2023-01-22 21:52:56.917; 59.475037999999984
2023-01-22 21:52:57.429; 58.962772999999984
2023-01-22 21:52:57.94; 62.44626100000002
2023-01-22 21:52:58.452; 61.93997799999998
2023-01-22 21:52:58.964; 61.42776199999999
2023-01-22 21:52:59.475; 60.91781899999998
2023-01-22 21:52:59.987; 60.40616199999998
2023-01-22 21:53:00.497; 59.89534899999998
2023-01-22 21:53:01.009; 59.38283899999999
2023-01-22 21:53:01.521; 58.87168399999999
2023-01-22 21:53:02.034; 62.34921
2023-01-22 21:53:02.545; 61.84698899999998
2023-01-22 21:53:03.056; 61.33636999999999
2023-01-22 21:53:03.566; 60.825659999999985
2023-01-22 21:53:04.078; 60.31348799999999
2023-01-22 21:53:04.587; 59.80662899999999
2023-01-22 21:53:05.105; 59.28666099999998
2023-01-22 21:53:05.613; 58.77923799999999
2023-01-22 21:53:06.125; 58.26767299999999
2023-01-22 21:53:06.635; 61.75638699999999
2023-01-22 21:53:07.148; 61.24436499999999
2023-01-22 21:53:07.658; 60.73356099999998
2023-01-22 21:53:08.17; 60.22163599999999
2023-01-22 21:53:08.681; 59.71093499999999
2023-01-22 21:53:09.193; 59.19914399999999
2023-01-22 21:53:09.704; 58.68806399999998
2023-01-22 21:53:10.217; 62.15704100000001
2023-01-22 21:53:10.727; 61.66493199999998
2023-01-22 21:53:11.239; 61.15273999999998
2023-01-22 21:53:11.75; 60.641452999999984
2023-01-22 21:53:12.262; 60.130633999999986
2023-01-22 21:53:12.774; 59.618645999999984
2023-01-22 21:53:13.286; 59.107134999999985
2023-01-22 21:53:13.797; 62.57679400000001
2023-01-22 21:53:14.308; 62.083758999999986
2023-01-22 21:53:14.82; 61.57214299999998
2023-01-22 21:53:15.331; 61.06148999999999
2023-01-22 21:53:15.842; 60.550038999999984
2023-01-22 21:53:16.354; 60.03812399999998
