time; video bitrate Kbps; audio bitrate Kbps; throttle bitrate (Kbps); id; video seconds
2023-01-25 21:55:26.000; 0; 64; 8000; 0; 0.0
2023-01-25 21:55:26.000; 1000; 64; 8000; 00001; 0.0
2023-01-25 21:55:26.000; 1000; 320; 8000; 00001; 0.0
2023-01-25 21:55:26.000; 4600; 320; 8000; 00002; 0.186308
2023-01-25 21:55:29.000; 4600; 320; 6400; 00002; 3.289489
2023-01-25 21:55:29.000; 4600; 320; 6400; 00003; 3.289489
2023-01-25 21:55:33.000; 4600; 320; 6400; 00003; 6.375073
2023-01-25 21:55:33.000; 4600; 320; 6400; 00004; 6.894693
2023-01-25 21:55:37.000; 4600; 320; 6400; 00004; 10.489692
2023-01-25 21:55:37.000; 4600; 320; 6400; 00005; 11.000255
2023-01-25 21:55:41.000; 4600; 320; 6400; 00005; 14.580688
2023-01-25 21:55:41.000; 3200; 320; 6400; 00006; 14.580688
2023-01-25 21:55:42.000; 3200; 320; 6400; 00006; 16.114961
2023-01-25 21:55:42.000; 3200; 320; 6400; 00007; 16.114961
2023-01-25 21:55:44.000; 3200; 320; 6400; 00007; 17.648867
2023-01-25 21:55:44.000; 3200; 320; 3200; 00008; 18.16935
2023-01-25 21:55:51.000; 3200; 320; 3200; 00008; 24.326691
2023-01-25 21:55:50.000; 3200; 320; 3200; 00009; 24.326691
2023-01-25 21:55:57.000; 3200; 320; 3200; 00009; 30.46365
2023-01-25 21:55:56.000; 3200; 320; 3200; 00010; 30.46365
2023-01-25 21:56:03.000; 3200; 320; 3200; 00010; 36.598056
2023-01-25 21:56:03.000; 1500; 320; 3200; 00011; 36.598056
2023-01-25 21:56:05.000; 1500; 320; 4000; 00012; 38.658424
2023-01-25 21:56:05.000; 1500; 320; 4000; 00012; 38.658424
2023-01-25 21:56:06.000; 1500; 320; 4000; 00012; 40.195309
2023-01-25 21:56:06.000; 2200; 320; 4000; 00012; 40.195309
2023-01-25 21:56:09.000; 1500; 320; 4000; 00013; 42.750097
2023-01-25 21:56:10.000; 1500; 320; 4000; 00013; 43.774353
2023-01-25 21:56:10.000; 2200; 320; 4000; 00013; 43.774353
2023-01-25 21:56:12.000; 1500; 320; 4000; 00014; 45.819588
2023-01-25 21:56:14.000; 1500; 320; 4000; 00015; 47.353496
2023-01-25 21:56:14.000; 1500; 320; 4000; 00015; 47.353496
2023-01-25 21:56:15.000; 1500; 320; 4000; 00016; 48.887654
2023-01-25 21:56:15.000; 1500; 320; 4000; 00016; 48.887654
2023-01-25 21:56:16.000; 1500; 320; 4000; 00016; 49.400822
2023-01-25 21:56:18.000; 1500; 320; 4000; 00017; 52.466395
2023-01-25 21:56:20.000; 1500; 320; 4000; 00017; 53.48938
2023-01-25 21:56:22.000; 1500; 320; 4000; 00018; 56.044536
