time; buffer(s); video seconds; throttling bandwidth; latency
2023-01-25 21:56:06.679; 4.320070999999999; 39.682929; 500; 15
2023-01-25 21:56:07.191; 3.8076909999999984; 40.195309; 500; 15
2023-01-25 21:56:07.702; 7.278562000000001; 40.705438; 500; 15
2023-01-25 21:56:08.213; 6.786461000000003; 41.216539; 500; 15
2023-01-25 21:56:08.724; 6.274721999999997; 41.728278; 500; 15
2023-01-25 21:56:09.235; 5.763888999999999; 42.239111; 500; 15
2023-01-25 21:56:09.747; 5.252903000000003; 42.750097; 500; 15
2023-01-25 21:56:10.259; 4.740538999999998; 43.262461; 500; 15
2023-01-25 21:56:10.770; 4.228647000000002; 43.774353; 500; 15
2023-01-25 21:56:11.280; 7.704556999999994; 44.284443; 500; 15
2023-01-25 21:56:11.793; 7.206923000000003; 44.796077; 500; 15
2023-01-25 21:56:12.304; 6.695559000000003; 45.307441; 500; 15
2023-01-25 21:56:12.816; 6.183411999999997; 45.819588; 500; 15
2023-01-25 21:56:13.326; 5.673043; 46.329957; 500; 15
2023-01-25 21:56:13.839; 5.160147000000002; 46.842853; 500; 15
2023-01-25 21:56:14.350; 4.649504; 47.353496; 500; 15
2023-01-25 21:56:14.861; 8.126531999999997; 47.865468; 500; 15
2023-01-25 21:56:15.372; 7.626697; 48.376303; 500; 15
2023-01-25 21:56:15.883; 11.112346000000002; 48.887654; 500; 15
2023-01-25 21:56:16.397; 10.599178000000002; 49.400822; 500; 15
2023-01-25 21:56:16.906; 14.08381; 49.91019; 500; 15
2023-01-25 21:56:17.417; 13.581392000000001; 50.421608; 500; 15
2023-01-25 21:56:17.929; 13.070197999999998; 50.932802; 500; 15
2023-01-25 21:56:18.440; 12.559427; 51.443573; 500; 15
2023-01-25 21:56:18.951; 12.048751000000003; 51.954249; 500; 15
2023-01-25 21:56:19.462; 11.536605000000002; 52.466395; 500; 15
2023-01-25 21:56:19.974; 11.025455000000001; 52.977545; 500; 15
2023-01-25 21:56:20.485; 14.510620000000003; 53.48938; 500; 15
2023-01-25 21:56:20.999; 13.997591; 54.002409; 500; 15
2023-01-25 21:56:21.507; 13.491751; 54.511249; 500; 15
2023-01-25 21:56:22.018; 12.980998; 55.022002; 500; 15
2023-01-25 21:56:22.528; 12.470624; 55.532376; 500; 15
2023-01-25 21:56:23.041; 11.958464; 56.044536; 500; 15
2023-01-25 21:56:23.553; 11.445874000000003; 56.557126; 500; 15
2023-01-25 21:56:24.065; 10.934624; 57.068376; 500; 15
2023-01-25 21:56:24.576; 14.404154999999996; 57.579845; 500; 15
2023-01-25 21:56:25.086; 13.912633; 58.090367; 500; 15
2023-01-25 21:56:25.597; 13.401868999999998; 58.601131; 500; 15
2023-01-25 21:56:26.108; 12.891348999999998; 59.111651; 500; 15
2023-01-25 21:56:26.619; 12.378660000000004; 59.62434; 500; 15
2023-01-25 21:56:27.131; 11.867925; 60.135075; 500; 15
2023-01-25 21:56:27.643; 11.355753999999997; 60.647246; 500; 15
2023-01-25 21:56:28.154; 10.844833999999999; 61.158166; 500; 15
2023-01-25 21:56:28.663; 14.325038000000006; 61.666962; 500; 15
2023-01-25 21:56:29.174; 13.824779; 62.178221; 500; 15
2023-01-25 21:56:29.684; 13.313792999999997; 62.689207; 500; 15
2023-01-25 21:56:30.195; 12.803685999999999; 63.199314; 500; 15
2023-01-25 21:56:30.707; 12.292746000000001; 63.710254; 500; 15
