time; buffer(s); video seconds; throttling bandwidth; latency
2023-01-25 21:19:51.574; 0.0; 0.0; 5000; 0
2023-01-25 21:19:52.085; 3.6829590000000003; 0.320041; 5000; 0
2023-01-25 21:19:52.599; 7.159743; 0.834257; 5000; 0
2023-01-25 21:19:53.129; 6.639956; 1.363044; 5000; 0
2023-01-25 21:19:53.642; 10.120332; 1.876668; 5000; 0
2023-01-25 21:19:54.177; 13.577717; 2.411283; 5000; 0
2023-01-25 21:19:54.708; 13.066214; 2.936786; 5000; 0
2023-01-25 21:19:55.218; 20.530363; 3.453637; 5000; 0
2023-01-25 21:19:55.739; 20.017892000000003; 3.966108; 5000; 0
2023-01-25 21:19:56.263; 23.505064; 4.497936; 1000; 5
2023-01-25 21:19:56.783; 22.985244; 5.017756; 1000; 5
2023-01-25 21:19:57.294; 22.473824999999998; 5.529175; 1000; 5
2023-01-25 21:19:57.806; 21.962457; 6.040543; 1000; 5
2023-01-25 21:19:58.317; 21.450105999999998; 6.552894; 1000; 5
2023-01-25 21:19:58.829; 20.938646; 7.064354; 1000; 5
2023-01-25 21:19:59.340; 20.428283; 7.574717; 1000; 5
2023-01-25 21:19:59.869; 19.901951; 8.101049; 1000; 5
2023-01-25 21:20:00.379; 19.388936; 8.614064; 1000; 5
2023-01-25 21:20:00.889; 18.877747; 9.125253; 1000; 5
2023-01-25 21:20:01.404; 18.363796999999998; 9.639203; 1000; 5
2023-01-25 21:20:01.913; 17.855257; 10.147743; 1000; 5
2023-01-25 21:20:02.424; 17.344376; 10.658624; 1000; 5
2023-01-25 21:20:02.935; 16.833091; 11.169909; 1000; 5
2023-01-25 21:20:03.445; 16.324054; 11.678946; 1000; 5
2023-01-25 21:20:03.958; 15.810799; 12.192201; 1000; 5
2023-01-25 21:20:04.471; 15.297547; 12.705453; 1000; 5
2023-01-25 21:20:04.980; 14.788176; 13.214824; 1000; 5
2023-01-25 21:20:05.491; 14.278144; 13.724856; 1000; 5
2023-01-25 21:20:06.002; 13.765475; 14.237525; 1000; 5
2023-01-25 21:20:06.516; 13.252513; 14.750487; 1000; 5
2023-01-25 21:20:07.024; 12.744133; 15.258867; 1000; 5
2023-01-25 21:20:07.534; 12.234623000000001; 15.768377; 1000; 5
2023-01-25 21:20:08.048; 11.720657; 16.282343; 1000; 5
2023-01-25 21:20:08.563; 11.206243; 16.796757; 1000; 5
2023-01-25 21:20:09.123; 10.645904000000002; 17.357096; 1000; 5
2023-01-25 21:20:09.644; 10.124717; 17.878283; 1000; 5
2023-01-25 21:20:10.155; 9.614; 18.389; 1000; 5
2023-01-25 21:20:10.665; 9.103121999999999; 18.899878; 1000; 5
2023-01-25 21:20:11.182; 8.586516; 19.416484; 750; 8
2023-01-25 21:20:11.702; 8.065458; 19.937542; 750; 8
2023-01-25 21:20:12.213; 7.5552160000000015; 20.447784; 750; 8
2023-01-25 21:20:12.724; 7.044505000000001; 20.958495; 750; 8
2023-01-25 21:20:13.235; 6.533196; 21.469804; 750; 8
2023-01-25 21:20:13.745; 6.022860999999999; 21.980139; 750; 8
2023-01-25 21:20:14.257; 5.511751; 22.491249; 750; 8
2023-01-25 21:20:14.767; 5.001051; 23.001949; 750; 8
2023-01-25 21:20:15.279; 4.489381000000002; 23.513619; 750; 8
2023-01-25 21:20:15.789; 3.9789819999999985; 24.024018; 750; 8
2023-01-25 21:20:16.301; 3.4669360000000005; 24.536064; 750; 8
2023-01-25 21:20:16.813; 2.955929000000001; 25.047071; 750; 8
2023-01-25 21:20:17.324; 2.4438710000000015; 25.559129; 750; 8
2023-01-25 21:20:17.836; 1.9319319999999998; 26.071068; 750; 8
2023-01-25 21:20:18.347; 5.402213000000003; 26.581787; 750; 8
2023-01-25 21:20:18.858; 4.891024000000002; 27.092976; 750; 8
2023-01-25 21:20:19.369; 4.398536; 27.604464; 750; 8
2023-01-25 21:20:19.881; 3.886813; 28.116187; 750; 8
2023-01-25 21:20:20.391; 3.376584000000001; 28.626416; 750; 8
2023-01-25 21:20:20.903; 2.8649430000000002; 29.138057; 750; 8
