time; buffer(s); video seconds
2023-01-24 18:39:54.602; 14.594482; 49.399518
2023-01-24 18:39:55.114; 18.088420999999997; 49.911579
2023-01-24 18:39:55.625; 17.580055; 50.422945
2023-01-24 18:39:56.137; 17.069031000000003; 50.933969
2023-01-24 18:39:56.649; 20.53875899999999; 51.445241
2023-01-24 18:39:57.159; 24.035398000000008; 51.956602
2023-01-24 18:39:57.672; 23.534539000000002; 52.468461
2023-01-24 18:39:58.183; 27.023254; 52.979746
2023-01-24 18:39:58.695; 26.511192; 53.491808
2023-01-24 18:39:59.206; 26.000344; 54.002656
2023-01-24 18:39:59.717; 25.489316000000002; 54.513684
2023-01-24 18:40:00.229; 28.977026000000002; 55.025974
2023-01-24 18:40:00.737; 28.469493; 55.533507
2023-01-24 18:40:01.251; 31.940503000000007; 56.048497
2023-01-24 18:40:01.763; 31.443165999999998; 56.559834
2023-01-24 18:40:02.275; 34.931731; 57.071269
2023-01-24 18:40:02.791; 34.415659; 57.587341
2023-01-24 18:40:03.297; 37.902932; 58.094068
2023-01-24 18:40:03.810; 41.390696; 58.606304
2023-01-24 18:40:04.321; 40.885385; 59.117615
2023-01-24 18:40:04.832; 44.362821000000004; 59.629179
2023-01-24 18:40:05.345; 43.861811; 60.141189
2023-01-24 18:40:05.855; 47.340822; 60.651178
2023-01-24 18:40:06.367; 46.838539; 61.164461
2023-01-24 18:40:06.878; 50.310284; 61.675716
2023-01-24 18:40:07.389; 49.815951; 62.187049
2023-01-24 18:40:07.901; 49.305023; 62.697977
2023-01-24 18:40:08.413; 52.787588; 63.209412
2023-01-24 18:40:08.923; 52.282332; 63.720668
2023-01-24 18:40:09.437; 55.767576000000005; 64.233424
2023-01-24 18:40:09.947; 55.259601; 64.743399
2023-01-24 18:40:10.459; 58.740702999999996; 65.256297
2023-01-24 18:40:10.970; 58.229983000000004; 65.767017
2023-01-24 18:40:11.481; 57.724401; 66.278599
2023-01-24 18:40:11.992; 61.19926600000001; 66.789734
2023-01-24 18:40:12.504; 60.70145999999998; 67.30154
2023-01-24 18:40:13.016; 60.19039799999999; 67.812602
2023-01-24 18:40:13.527; 59.67854699999998; 68.324453
2023-01-24 18:40:14.039; 59.167766999999984; 68.835233
2023-01-24 18:40:14.550; 58.65525699999999; 69.347743
2023-01-24 18:40:15.061; 62.14400999999998; 69.85899
2023-01-24 18:40:15.574; 61.63252899999999; 70.370471
2023-01-24 18:40:16.085; 61.12157899999998; 70.881421
2023-01-24 18:40:16.596; 60.609633999999986; 71.393366
2023-01-24 18:40:17.108; 60.09792199999998; 71.905078
2023-01-24 18:40:17.619; 59.58696299999998; 72.416037
2023-01-24 18:40:18.131; 59.07609599999999; 72.926904
2023-01-24 18:40:18.642; 58.56356199999999; 73.439438
2023-01-24 18:40:19.153; 62.05264599999998; 73.950354
2023-01-24 18:40:19.665; 61.54016999999999; 74.46283
2023-01-24 18:40:20.177; 61.02871299999998; 74.974287
2023-01-24 18:40:20.689; 60.51813399999999; 75.484866
2023-01-24 18:40:21.200; 60.00627199999998; 75.996728
2023-01-24 18:40:21.717; 59.48941399999998; 76.513586
2023-01-24 18:40:22.222; 58.98457399999998; 77.018426
2023-01-24 18:40:22.734; 58.47159399999998; 77.531406
2023-01-24 18:40:23.247; 61.959085999999985; 78.043914
2023-01-24 18:40:23.758; 61.44855599999998; 78.554444
2023-01-24 18:40:24.269; 60.93611999999999; 79.06688
2023-01-24 18:40:24.781; 60.425274999999985; 79.577725
2023-01-24 18:40:25.292; 59.913246999999984; 80.089753
2023-01-24 18:40:25.804; 59.40188399999998; 80.601116
2023-01-24 18:40:26.315; 58.89149299999998; 81.111507
2023-01-24 18:40:26.826; 58.38023099999998; 81.622769
2023-01-24 18:40:27.333; 61.864231000000004; 82.129769
2023-01-24 18:40:27.849; 61.35642299999999; 82.646577
2023-01-24 18:40:28.360; 60.846046999999984; 83.156953
2023-01-24 18:40:28.872; 60.33340799999999; 83.669592
2023-01-24 18:40:29.384; 59.82213899999999; 84.180861
2023-01-24 18:40:29.896; 59.30983699999999; 84.693163
2023-01-24 18:40:30.406; 58.79983099999998; 85.203169
2023-01-24 18:40:30.919; 62.27005799999999; 85.715942
2023-01-24 18:40:31.430; 61.776397999999986; 86.226602
2023-01-24 18:40:31.942; 61.263677999999985; 86.739322
2023-01-24 18:40:32.453; 60.75348899999999; 87.249511
2023-01-24 18:40:32.964; 60.24206699999999; 87.760933
2023-01-24 18:40:33.476; 59.729399999999984; 88.2736
2023-01-24 18:40:33.987; 59.21895199999999; 88.784048
2023-01-24 18:40:34.499; 62.700856000000016; 89.296144
2023-01-24 18:40:35.018; 62.188316999999984; 89.814683
2023-01-24 18:40:35.539; 61.66779899999999; 90.335201
2023-01-24 18:40:36.049; 61.15739099999999; 90.845609
2023-01-24 18:40:36.561; 60.64588499999999; 91.357115
2023-01-24 18:40:37.073; 60.13371499999998; 91.869285
2023-01-24 18:40:37.585; 59.62186099999998; 92.381139
2023-01-24 18:40:38.097; 59.10911499999999; 92.893885
2023-01-24 18:40:38.609; 58.59773999999999; 93.40526
2023-01-24 18:40:39.119; 58.08775299999999; 93.915247
2023-01-24 18:40:39.631; 61.567177; 94.426823
2023-01-24 18:40:40.142; 61.054100000000005; 94.9399
2023-01-24 18:40:40.653; 60.55314299999999; 95.449857
2023-01-24 18:40:41.165; 60.04083999999999; 95.96216
2023-01-24 18:40:41.676; 59.53051799999999; 96.472482
2023-01-24 18:40:42.188; 59.01867699999998; 96.984323
2023-01-24 18:40:42.698; 58.508313999999984; 97.494686
2023-01-24 18:40:43.209; 57.99695299999999; 98.006047
2023-01-24 18:40:43.722; 61.48477599999998; 98.518224
2023-01-24 18:40:44.235; 60.971085999999985; 99.031914
2023-01-24 18:40:44.746; 60.46070299999998; 99.542297
2023-01-24 18:40:45.256; 59.95024199999999; 100.052758
2023-01-24 18:40:45.767; 59.43899299999998; 100.564007
2023-01-24 18:40:46.279; 58.92679899999999; 101.076201
2023-01-24 18:40:46.790; 58.415959999999984; 101.58704
2023-01-24 18:40:47.304; 57.90234599999998; 102.100654
2023-01-24 18:40:47.812; 61.37426000000001; 102.60974
2023-01-24 18:40:48.325; 60.881241999999986; 103.121758
2023-01-24 18:40:48.837; 60.36931999999999; 103.63368
2023-01-24 18:40:49.347; 59.85835999999999; 104.14464
2023-01-24 18:40:49.859; 59.347521999999984; 104.655478
2023-01-24 18:40:50.374; 58.83279399999999; 105.170206
2023-01-24 18:40:50.884; 58.32218299999998; 105.680817
2023-01-24 18:40:51.395; 61.792118; 106.191882
2023-01-24 18:40:51.909; 61.29719999999999; 106.7058
2023-01-24 18:40:52.416; 60.789777999999984; 107.213222
2023-01-24 18:40:52.931; 60.27531599999999; 107.727684
2023-01-24 18:40:53.440; 59.76643899999999; 108.236561
2023-01-24 18:40:53.951; 59.255673999999985; 108.747326
2023-01-24 18:40:54.464; 58.742609999999985; 109.26039
2023-01-24 18:40:54.974; 58.23175599999999; 109.771244
2023-01-24 18:40:55.487; 61.709637; 110.284363
2023-01-24 18:40:55.997; 61.20910999999998; 110.79389
2023-01-24 18:40:56.512; 60.69480899999999; 111.308191
2023-01-24 18:40:57.023; 60.183869999999985; 111.81913
2023-01-24 18:40:57.534; 59.67274999999998; 112.33025
2023-01-24 18:40:58.045; 59.16123899999998; 112.841761
2023-01-24 18:40:58.557; 58.64861699999999; 113.354383
2023-01-24 18:40:59.069; 58.136831999999984; 113.866168
2023-01-24 18:40:59.580; 61.61528899999999; 114.376711
2023-01-24 18:41:00.094; 61.11289799999999; 114.890102
2023-01-24 18:41:00.607; 60.60014299999999; 115.402857
2023-01-24 18:41:01.133; 60.07447299999998; 115.928527
2023-01-24 18:41:01.643; 59.56399399999998; 116.439006
2023-01-24 18:41:02.154; 59.05224199999999; 116.950758
2023-01-24 18:41:02.746; 58.49007899999998; 117.512921
2023-01-24 18:41:03.318; 57.902191999999985; 118.100808
2023-01-24 18:41:03.826; 61.376532999999995; 118.623467
2023-01-24 18:41:04.341; 60.86538799999998; 119.137612
2023-01-24 18:41:04.850; 60.35599699999999; 119.647003
2023-01-24 18:41:05.361; 59.84560499999999; 120.157395
2023-01-24 18:41:05.874; 59.33294099999999; 120.670059
2023-01-24 18:41:06.388; 58.81871799999999; 121.184282
2023-01-24 18:41:06.896; 58.31003399999999; 121.692966
2023-01-24 18:41:07.408; 57.79807499999998; 122.204925
2023-01-24 18:41:07.919; 61.28716099999998; 122.715839
